,text,rating
0,"OK, I fouled up with my Kindle Paperwhite 11th edition purchase. It was Prime Day and the Kindle was marked WAY DOWN, and I opted for the bundle: Kindle + Charger + fabric cover. Now don't get me wrong, the Charger is nice and the fabric cover is very nice, but for a device Amazon says you only need to charge 5 times a year, getting a premium charger doesn't really make much sense. I already have plenty of chargers, and the Kindle will charge overnight whether I use their super-fast premium charger or something else. And while the case is undeniably nice, you can get one for less than half the money from other sellers on Amazon.

I did not make the mistake of getting the ad-free version. The ad appears on the lock screen and as soon as you swipe the screen, it goes away and stays away for your entire reading session. It's 100% unobtrusive. Other people have given the Kindle one star because they bought the ad-free version, and were angry there are still ""suggestions"" on the Home screen that they consider ads. All I can say is that you get that no matter what, and the solution is to switch to the Library screen rather than the Home screen; that's very easy on the latest software version.

The other huge mistake I made over 4 years ago was subscribing to Kindle Unlimited and somehow not knowing that it was automatically renewing silently every month (for $9.99). I paid enough to buy several Kindles. I guess I thought it was part of Amazon Prime or just something that comes with a Kindle. You can bundle Kindle Unlimited ""Free"" for 3 months with your Kindle purchase, but just watch out when that 3 months are over. I have generally found Kindle Unlimited books second rate (with a few exceptions).

I bought one of the original Kindle Fire versions and the first Kindle Fire HD. They were cool, but I didn't end up using them much. They didn't have good battery life, they were hard to read outdoors, and Kindle software on other portable devices was fine. I think the first one eventually failed, and I gave the HD away to someone who needed to do something that required a Kindle. I have a nice Windows tablet.

But I have always wanted a Paperwhite because of its long battery life and superb readability outdoors. Plus it was heavily discounted on Prime Day and I bought one.

So how did it live up to expectations? Pretty well. The ""10 weeks"" battery life claim seems exaggerated, but still if you pick it up to go somewhere, it will probably be charged and last another day. Outdoor readability is simply amazing.

After receiving the device, the software updated. I think it updated twice. My ""Experimental Web Browser"" turned into the ""Web Browser"" and the navigation improved markedly (addressing issues I read in other 1-star reviews). The web browser is still very limited and doesn't display some web pages correctly (like the Internet Archive), and error messages still mention the ""Experimental"" browser. You can't access YouTube, for example, Twitter doesn't seem to work at all, and the New York Times is not readable.

On books, three-level table of contents don't work on the Kindle, although they work on Kindle for PC.

I had a very good experience emailing a PDF document downloaded from our local Planning Commission to the Kindle. Things you send to the Kindle arrive very fast. Amazon did, however, require me to verify myself as a sender before it would deliver email attachments to the Kindle, even though my email address is on the approved senders list at Amazon. Also plugging the Kindle to a PC lets you drag and drop supported document types (notably MOBI and PDF) to the Kindle where the immediately appear in your Library. The Send to Kindle for PC app is currently broken as reported by me and others on Amazon forums.

The device is somewhat sluggish in general with a 1-second delay for most things: swipes, scrolls and navigation. That's certainly not something that would interfere with reading a book. There are so many different ways to navigate, that it can appear jumbled and confusing, plus the software updates I got changed everything, making me re-learn the UI. I think in the end that I will be accustomed to it and it will appear more natural.

One severe limitation is that you cannot play audio files in general. While it supports Bluetooth headphones for books from Audible, it cannot play music or audio books in general. (I hope this is enhanced in a future software update.)

So should you buy one of these? If you want to sit outdoors under a tree or at the beach for hours on end reading a book, a Kindle Paperwhite makes a lot of sense. The reading experience is good, it's visually sharp and the charge lasts a long time. If you want to listen to music, or do much of anything else you can do on a phone or a tablet computer, you're out of luck.",4.0
1,"The first thing I thought of when I saw an e-reader was AWESOME! But that was before they introduced the paperwhite models. In essence, they were amazon branded android tablets. They were slow and clunky and incredibly cheap. I'm further embarrassed to admit my first e-reader was actually a Barnes & Noble Nook. Which - if anything - was worse than the original Kindle's.

I also discovered that I just plain missed holding a book. I couldn't explain it but I know a lot of people understand what I'm talking about. There is just something about being able to physically hold that book in my hands that just felt ""right"" and the e-readers just did not provide that.

Finally amazon introduced the paperwhite and that was an absolute game changer. The ability to read a Kindle in direct sunlight was just unheard of. The older color versions were essentially useless in direct sun, or even marginally cloudy days as well. I still preferred holding a book in my hands though. But that all changed one night when I couldn't sleep and I tried to read at 1am and couldn't get ANY light to work well enough while also trying to hold my hard back book and not wake up my wife. It became a challenge of monumental proportions (at least for me it was). Slowly, over the course of the next 6 months, I began to warm up to the idea of giving the Kindle another try.

This is where I made a big mistake however. Instead of buying it new, I went with a reputable company that sold reconditioned electronics for a deep discount. My reasoning seemed solid (at the time), if I ended up not truly enjoying my Kindle, at least I hadn't wasted too much $$ on buying a new one. Unfortunately, the model I received was tied to the account of the former owner, and I wasn't able to correct that with a simple master reset. It took several days to work thru that problem, but once I did, I was off and running. I got a slightly smaller model (6"" screen) and while it functioned, it stuttered so often I forgot just how smooth it really should've been. But still, even with the issues, the hiccups and stuttering, I grew to really enjoy using it and more importantly, I loved the battery life it offered.

I decided it was time for an upgrade, and this time I was going all-in. I got the 6.8"" screen, which isn't that much bigger, but it DOES make a difference. Since I ordered directly from amazon this time, imagine my absolute surprise when I turned it on I was worried that it was going to take forever to link up to my WiFi and have to add my amazon account information...but that did not happen. Not sure if amazon pre-programmed it, but as soon as I turned it on it said, ""Welcome Jeff"" and I was stunned. How did it know??? Well, no matter, the set-up was a friggin' breeze and I was thrilled how seamless it was.

Operation was so much easier and while it still offers a little stuttering (which in all honesty is simply due to the black & white screen and how it operates) but it was decidedly better than the older model. Battery life is stellar, though not as good as amazon claims. I think what they say is almost absurdly optimistic. But, the truth is, a paperwhite will give you pretty great life on a full charge.

It operates well, and I love how I can invert the screen so more of it is black. Not sure if that uses less battery like it does on an amoled phone screen, but I'm going to see and test it just in case. My old Kindle did not have this option.

All in all, reading is fun again for me and I love how I don't need a special light to read in the middle of the night like I did with a hard back. Kudos to amazon, I love my Kindle.",4.0
2,"I don't like upgrades. Every time I'm forced to get some new piece of electronic equipment, I dread the experience. I still haven't switched to Windows 11, even. Tried it once, couldn't delete it fast enough!

You have to understand, I've only had one Kindle, and it's about 12 years old. I took good care of it, and had to replace the battery once, but it still worked. Sort of. But turning pages took longer and longer. Often, it took so long, poor Kindle would just send an error message and give up. I wasn't even able to open some of the newer books. The replacement battery was losing its ability to hold a charge. Even worse, my Kindle case was literally falling apart, but my Kindle was so old, I couldn't find a replacement.

So when I could postpone the inevitable no longer, I ordered the 11th Generation Paperwhite.

When it came time to actually make the purchase, my palms sweated madly, but discovering the 16G was on sale—making it cheaper than the 8G I'd decided was more financially affordable—cheered me right up. Getting a trade-in that equaled one payment, and receiving a gift card that pretty much covered the cost of a new case, made it even better.

The new Kindle arrived on time, and I was actually excited to try it out. There was just enough power in the battery to set it up before it needed charging. I'm quadriplegic, so the touch screen was a welcome change. I worried I'd be constantly swiping and wearing out my arm, but a tap is enough to turn pages. I like the lighted backscreen, which I didn't have before, and the wider size is easier for me to hold.

Someone complained about the edge being too narrow to hold on to, but that's what the cases are for. I wouldn't recommend trying to use this product without a case to cover it. Not only does it protect the Kindle, but it makes it much easier to hold. I really love the way this Kindle sleeps when I close the cover, and wakes when I open it.

I'm clumsy from nerve damage, so I sometimes touch the screen by accident, causing it to skip pages. But this device is so fast, I find my place again without difficulties. That was one of the things I worried about, before the purchase, but it's not a problem.

What I don't like: the clock down in the bottom left corner. I turned it off, and when I briefly looked at another book, it turned back on again. When I turn something off, I want it to STAY OFF. And if I don't like it for one book, then I don't want it on any books—but you have to turn off each book separately. And apparently, if you leave the book for any reason, then you have to turn it back off, AGAIN. When you've got issues with hands/arms, any extra click is too much.

Let me turn it off in the device for ALL books, please, not just one book at a time.

The other thing I hate is the way collections are managed. Before, when I added a book to a collection, that title was taken off the list. Now it stays on the list, so I have to scroll through EVERY book on the list, EVERY TIME. Since many book titles are similar—especially books in the same genres—that gets very confusing, very quickly. Not to mention, it's time consuming. Especially if you own over 1000 books!

Just let me add a book to a collection, then take it off the complete list. Maybe you think I want to put it in multiple collections, Amazon, but I'd trade that option for ease and simplicity of use, any day.

Also, I can't seem to get the highlight function to work. When I try, all I can get it to do is make a note. I've gone through the Kindle guide several times, and I've also searched online for an answer, but I can't find anything to explain why it won't give me a way to save a highlight. I often highlight passages to read to my sister; I don't want to make notes about them, just read them to her!

Overall, I'm very pleased with this product. There are just a few, small annoyances that I'm apparently going to have to live with, I guess. I'd really, really like it if—just once—a new product kept all the good features and only 'improved' the bad ones. It's all about choice. Most of my unhappiness stems from the loss of a choice that I considered crucial.

If Amazon had just left those easy little things unchanged, and given me the choice to do things the way I had become accustomed to doing, this would be a perfect product.",4.0
3,"PROS: Well, I REALLY like the 11th Gen over my 7th Gen. I'll do it in 4 points:
1-Larger Screen.. Nice
2-Color Temp adjustment for the screen. My background is photography so to me the new screen goes from say 8000 degrees Kelvin to about 2500 degrees Kelvin. I'm happy around 4700-5000
3-LONGER battery life.. like 2 months vs 3 weeks
4- USB-C!! YES! (my old microUSB was always getting wobbly.

I did not mention the increase from ""4""GB to ""8""GB..because ..well. in the 7th Gen the 4GB is actually 3.1GB with the rest taken up by the OS on the new one.. it's actually...wait for it.. 6.25GB! Yep the OS went from .9GB to 1.75GB! A bit piggy for me. I made a joke with a few of the Kindle Tech people that they got ideas from Windows Vista!. Most got the joke.

CONS: Now onto issues..several which are really for how I use my Kindle:
1- ok the not quite 8GB issue. Hey I understand the increase in size..but how about making Audible a CHOICE.. you can add it or make it optional. If you take away Bluetooth support and Audible..maybe we might gain some space back. (Personally I use nice plug-in headphones. I really only see Audible BT when on a long drive in the car..like music. But then again, you can just put it in a format like MP3 and play it thru the car. I have the entire Hitchhiker's Guide Radio Broadcasts like that)
2- BIG (to me ) BUG the issue? as in the photograph.. I use Amazon Cloud Collections. I organize my ebooks (most I got before I got the kindles) using Calibre. So when I set up series, I use the Series name, or I use the Author, or Subject as a title for the Collections. sometimes, (as in the case of the Dune series), books are added that happened in-between earlier books that came out. So when that happens I will add the book. And when you have a series of say 11 books, 9 of which came out years ago, I'll add the book as the following:
01-Dune
02-Dune Messiah
03-Children of Dune
then 3 books were added.. Tales of Dune. Paul of Dune, and The Winds of Dune.
In my older 7th Gen PW it showed like this:
00-Tales of Dune
01-Dune
01.5-Paul of Dune
02-Dune Messiah
02.5-the Winds of Dune
03-Children of Dune
BUT, As the photograph shows, the new 11th Gen PaperWhite has a bug!
00-Tales of Dune
01.5-Paul of Dune
01-Dune
02.5-the Winds of Dune
02-Dune Messiah
03-Children of Dune
This should REALLY be addressed!
3-This is not so much a Kindle PW issue, as so much it's an Amazon issue. and it deals with the Amazon Cloud Collections. As I use Calibre, and I have a LOT of books that were originally Epubs, I used Calibre to convert them and organize them into series. And after various different methods, including sideloading from the computer, I decided to use the Cloud Collections. So I sent ALL of my converted epubs (now mobi files) to Amazon and used the website to organize them into the collections. Which went very well ....at first.
First..about 2-3 years ago, Amazon removed the ability to send the Collection to Device. So now I HAVE to use the actual PW to get my Collections onto my Kindle. Recently, Amazon changed the display format on the pages on how they show books and doc files. And if you want to add a book or doc to a collection, it's now incredibly tedious! Formally when you did a box would open that would let you start typing the name of the collection, or make a new collection. All in one box. NOW, a box open which shows 2 or 3 collections.. not in any order other than Recent..with a check box! You can't find the collection by typing the title.. you can only scroll..and it only shows 2 collections at a time. That's fine if you have 6 collections.. but I have 49 page of 5 COLLECTIONS EACH!!! PLEASE PLEASE PUT BACK THE OLD WAY OR ADD A SEARCH OPTION!! You've actually found a way that is so much more tedious than the actual Paperwhite!!!!! you can't even make a new one on there.. you have to go back to the collection Tab.. THEN go back to the doc or book tab and start all over! Please go back to the old way !!!
4- the new Library Series option. It only works for purchased books, not docs. also, I had to call up because it grouped two books together, in a series..(nice), but then stuck on e of the GRAYED OUT, above the first collection.. only in Download. I found out I had to do a Reboot after turning Library option off. (I ended up putting the two books in a collection.. like I like.

Well that's about it. btw I ALWAYS use the LIST vs GRID option.. and using HOME is no longer a nice choice. I prefer when HOME was the same as LIBRARY .. in my case..the first collection, and all the collections after which comes the books in Recent order
now... waiting for a dark brown cork case.
______________________________________
Slight update or comment on the software version. My wife and I both upgraded to the 11th Gen. Her's came with her case..Amazon Black Leather, while I wait for the cork. Her 11th gen came with 5.14.1 1, while mine came with 5.14.0 . I was a bit surprised since both were ordered at the same time. And arrived together. But, not a big issue, since eventually all units will be on the latest software. So? What to do? I've read a LOT on here about complaints it's so hard, I know.
Since my ""update"" was grayed out, I just downloaded the latest version and put it on my 11th gen, and rebooted..and BINGO! No problem, I now have the latest software.

Now fix the real BUG I addressed and fix the ""Manage Your Content"" pages regarding using Cloud Collections. Oh, while you're at it, fix the damn Amazon Android App so I can work with Cloud Collections via the App. And not just my tower. Thanks",4.0
4,"Kindle Signature Paperwhite plus Charging Stand

I own the 11th Gen (newest model 2022) standard Kindle Paperwhite and the Signature Paperwhite. I love them both. If dough is not the issue, I would buy the Signature model for fifty bucks more. Here’s some of my particular findings in use.

Cases: Note that I do not like the Amazon cases because I don’t like folding over cover type cases; I prefer cases that simply help with holding the device. I purchased the “MoKo Case for 6.8"" Kindle Paperwhite (11th Generation-2021) and Kindle Paperwhite Signature Edition, Ultra Clear Soft Flexible Transparent TPU Skin Bumper Back Cover Shell, Clear” from Amazon and it fits the Kindle ideally, and most importantly this case DOES go on the proprietary charging stand made by Anker and the charge does go through the case (that is, I do not need to remove the case to charge the Kindle in that charging stand).

Battery: Amazon states that the Kindle 11th gen will hold a charge for 10 weeks, when used at limited brightness for 90 minutes a day (and a lot of other stipulations, like WiFi and Bluetooth off, etc). In reality, many may turn up the brightness, read more than 90 minutes, and Airplane mode on, or use other features that drain the battery faster (See audiobooks below). I have found that my battery drains faster than 10 weeks, but I am using the device with Airplane mode off, Wifi on, Bluetooth On. I do not like turning off wifi in particular because it MUST Be on to sync books between devices, and since I have two Kindle 11th gens, plus a MacBook, iPhone, iPad, and I read 5 books at a time simultaneously, I have no desire to turn wi-fi off. Thus, having Qi charging is helpful…not mandatory but helpful. Another BIG reason for the Qi charging is Audible audiobooks. I do listen to them through the Kindle itself, and the battery drains fairly quickly when listening to audiobooks.

Memory Storage: The Kindle has 8 GB storage, but only 5.8 GB after their software OS. The Signature Kindle has 32 GB storage, but only 28 GB after their software OS (there is slightly different software between the two models as the Signature supports more menu and charging features). So if you love downloaded “off-line” reading, and in particular if you enjoy having audiobooks in your downloaded library (they take much more storage than an e-book), the 32 GB is reassuring.

Auto-light adjust: I can’t even detect that it’s doing anything, but if one rides a train daily to work and it passes through dark tunnels, this feature may be of benefit to you.

Advertising free: Many forget the $20 value of the ad-free that is part of the Kindle Signature. Even those that wouldn’t pony up for it on their own may enjoy it here as “icing on the cake” for the price difference. I like seeing my own book cover on the sleep screen, and that is not possible with the “with ads” version. I thought I enjoyed the ads for editors choice books and book sales and stuff, but I much prefer the ad-free model. And, little discussed fact, the ad-free version has one less swipe to get to your Library or current book every single time you turn on the Kindle. True!

Dedicated Signature Charger Stand: I bought the Qi charging stand and like it greatly. It does work with my “MoKo Case for 6.8"" Kindle Paperwhite (11th Generation-2021) and the Kindle Paperwhite Signature Edition, Ultra Clear Soft Flexible Transparent TPU Skin Bumper Back Cover Shell, Clear”., and charges through the case and the case fits the stand (but not quite as bump-proof as the Kindle without the case). I like that the stand sits quietly on my desk as I am working, or on my coffee table while I’m watching sports do I can read during commercials. I do not need to keep the AC cord attached to the stand at all times; sometimes I use the charger stand as simply a free-standing stand for either of my Kindles. I like that it can hold my Kindle 11th generation normal edition without Qi charging and I can read on it as an easel stand. I feel the utility as an easel stand is underrated. Qi chargers in general are not free, and neither are easel stands, so coupling those two together, you get the price of this Anker model. I find no issues with the size of the “wall wart” or the plug in the back of the stand. Some people complain with the charging stand that the white light indicator does not turn to another color, such as green, to indicate full charge. A “work around” for this is to place the charging Kindle on the stand upside down; now the LED light at the bottom of the Kindle device itself, which does change color when fully charged, is face upward and easily seen. Frankly, there is no issue with simply assuming the Signature PW is charged after an hour or two. I like this stand much more than I thought I would.

I’ve owned every Kindle since the first one! I use library Libby, and am an Audible and Kindle Unlimited subscribers. I guess you could say I’m a “power user”. I definitely prefer the Signature version, but both are good readers. If I could change one thing about these Kindles, it would be to add a physical button like the Oasis. I realize that sounds outdated, but to reach and switch with the other hand, or reach thumb across screen to scrub, every page turn is a chore that is solved with an under-thumb button like Oasis. Additionally, the e-ink is good, but after two decades, one would think the text versus background contrast would be better…that is, darker text, whiter background. Instead, it remains darkest gray text in lightest gray background, not ideal. Happy reading!",4.0
5,"I’ve really gotten into books lately. I read everyday. I decided to try out the kindle because buying physical copies was getting a bit expensive and it was taking up too much shelf space (I’ll only be buying copies of books that I love now). And I just wanted something portable to take with me everywhere. When I go on vacation, books take up too much room.
I do have a tablet but it’s just harder on the eyes and way too big compared to this kindle as you can see in the photo. The size difference. I much prefer the smaller screen. I can hold it easier when I’m laying in bed.
A couple things I’ve noticed that aren’t too great is the fact it freezes a lot. I have to restart it somewhat frequently. It does lag but that doesn’t bother me. And the other thing is the white dot you see on the fourth picture under the last word. I did notice a lot of people complained about the “dead pixels” that are frequent on these things. So I decided that this pixel wasn’t worth returning for. It could be worse honestly.
But other than that it’s perfect. It’s got the warm light so it doesn’t strain your eyes and you can adjust the font and the size of the font if you can’t read smaller letters. Which I love.
Overall really happy with my purchase. I’m sad I didn’t get one of these sooner",4.0
6,"I got this last year as an upgrade to my Kindle Paperwhite 3. After having used it for a year, I think I have settled on most of my opinions. So, here's the breakdown:

Pros:
++ The screen is larger
+ The resolution is sharper
++ The warm light option is excellent, and one of its biggest selling points
+ The internal software for calculating my reading speed is more accurate and more reliable. It often glitched out on my Paperwhite 3 and got stuck believing that I read at god-level speeds. Nothing like this has ever happened on my Paperwhite 5, although it still seems to generally underestimate how long it'll take me to finish a chapter.
+ USB-C connection rather than micro-USB: this makes for delghtfully fast charging.
+ It can store audiobooks and has bluetooth capabilities. However, I have yet to take an interest in either of these functions.

Cons:
- It's actually a little bit LESS responsive than my Paperwhite 3.
- The bezel is flush with the screen, which I suppose makes it waterproof, but it also makes the device harder to grip.
- The bezel is too narrow for my tastes, since it again makes the device harder to grip without touching the screen. Though, this issue can be mitigated by increasing the margin size. The Kindle doesn't do anything with touch inputs that are sufficiently long and don't touch any words, so you can safely rest your thumb on the margins while you're reading.
-- It takes significantly longer to wake up than my Paperwhite 3. Part of that is because my Paperwhite 5 has ads on the lock screen, meaning I have to always swipe to unlock, which I don't have to do with my Paperwhite 3. But even with this under consideration, when it's my first time turning the device on after a while, it usually takes around 1-3 seconds to prompt me to swipe to unlock, and another 1-2 seconds for it to actually load up my reading spot again. It's especially bad when the Kindle is cool, e.g. under 60 degrees. But my Paperwhite 3 was also a lot slower in cold air too, so this isn't too big of a gripe.
-- I'm pretty sure the screen bleeding is worse in this model than for the Paperwhite 3. Stray artifacts will sometimes stick around even after the screen refreshes, leaving traces of the previous screen state lingering on the device. I've attached a photo to show you what I'm talking about. In it, my Kindle is set to sleep mode, but you can see the words in the current book that I'm reading. The Paperwhite 3 does this a bit too, but nowhere near as badly, and the screen refreshes are always successful. This is a somewhat minor inconvenience, but it is a distraction sometimes.

Overall, I'm not entirely sure if I can even call this an upgrade to the Paperwhite 3. It has a lot of extra features that I love, and I guess at the end of the day, it's this model that I'm reading now and not my old Paperwhite 3. But when I look back at my old Paperwhite 3, and consider the fact that it still works perfectly fine, I can't help but feel like I really didn't need this upgrade.

So, if you're looking to pick up a new Kindle Paperwhite ... yeah, get the NEW Kindle Paperwhite. The USB C charger, the larger screen, and the warm light are all major conveniences that make using the device a lot more enjoyable. But if you are in the position I was in back in 2022, and you want to upgrade the Paperwhite that you already have, then save yourself the money and skip this. You're not getting that much more, and you'll probably be trading off some features that you like in the process.",4.0
7,"This is kindle 5 for me, started with gen 1 gen 7 just wore out, I had replaced the battery twice and counted on a trade to drop the price. Works about the same but the screen is just not right, I have the new to me warmth setting off and the screen still appears dark. I can use the light to make it as bright as the old paperwhite, but there goes battery life. Other than that the only problem is the library screen clearly designed by someone who 1) rarely reads books 2) chooses them by their cover. I purchased my first kindle due to astigmatism and poor near vision, hated using my readers, still do. Then came e ink and adjustible font sizes ! Which you Had on older versions of library, Not now. No matter how much I squint, adjust settings etc I just cannot see the author, title or other cogent info. I read 7 books a week, I want to see when they were checked out, when due, author title and if read and how much. And not resort to my 3.25 readers. Of course you can tell the non reader engineers got in their licks too. "" lasts xxx days !"" And in brackets "" reading 30 minutes a day"" . Well I read about 360 minutes a day. As do many of us who beleive TV and social media have dumbed up society. As an Engineer (E.E.) I am well aware that a battery hatch and swapable Li cells could be used to extend the life of these devices. Right now I am looking at my wifes underwater camera good to 60 feet that uses a $12 li 0.4 mm thick that takes seconds to swap out of it's waterproof compartment. Would I pay more for this - you bet. About that library screen - a little coding magic and you could adjust the size. So overall from a readers standpoint NO advance over earlier versions. That dark screen is advertised as looking more booklike. Yeah if you like reading old foxxed paperbacks under a bedspread at night with a flaslight.",4.0
8,"First, I spend a huge bundle of coin buying ebooks! Been a ""massive reader"" since I, well, could read (didn't have Amazon ALL of those years ago). Now, I'm older than dirt, and disabled, just a bit! Anyway, I fell for Dear Sir Jeff and his enterprise years ago, still have my very first ""Kindle"" that speaks not a word! Anyway, wow! Fell head over heels for my first Paperwhite.......such class! Someone at Amazon once told me that ""wow, lady, you have maybe 4000 ebooks!"" to which I replied ""then I had better get to shopping!""
So, onward to recent times. Struggled about buying new PaperWhite, didn't bother reading reviews, jumped in. I had spent hours, months, years creating Collections......wow, how very wow was that idea brilliant?!! And in the Good?OldDays, when you bought new, seemed that your life just flopped over, didn't it? At least with dear Amazon. Anyway, none of that boring tech stuff, onward with impressions:
1) I splurged, got the LEATHER cover, in brown of course! Expensive perhaps, but oh, my!! Beautiful! And I'm worth it!
2) Screen seems, well, somewhat fabulous. Print seems very proud of itself, kind of showy (like me in younger days in a new, hot dress?!).
3) Collections seem to be all present, along with their ebooks. Kinda too early to tell, cross your fingers! However, they clearly have not learned our alphabetic or numeric systems, entirely!
So, beloved gals and guys, all seems fine, so far. Change is always a struggle......look up definitions to ""new,"" ""old,"" ""remodeled,"" ""unchanged,"" anyway, you get my message, I hope? Cling to your love of reading, just in case you become old, like me! AND.......
please keep saving trees, buy PaperWhites!",4.0
9,"I always said I would never buy a Kindle because I just like the feel of a regular book and turning pages but they were on sale so I figured why not try it? I love it! It’s such a nice small size and you can make all the necessary adjustments you need on it to fit your needs. This will be great to read really long series on that have say 6 books to a series, instead of buying them all I can read on Kindle. It was easy setup, synced to my Goodreads and Libby apps as well, and will most likely be buying the Kindle Unlimited subscription soon. You can borrow free library books on it though. One thing that does annoy me is the ads, but they can be removed by contacting customer service apparently which I will try to navigate at some point!",4.0
